address,total_trades,winning_trades,win_rate,total_pnl_sol,total_pnl_usd,avg_pnl_per_trade_usd,best_trade_usd,worst_trade_usd,consistency_score,first_seen,last_active,solscan_url
CeSCa4o2vXQdrgC3DiE6X1MEMvsTPF9sfzWLd2KHLVA5,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/CeSCa4o2vXQdrgC3DiE6X1MEMvsTPF9sfzWLd2KHLVA5
5sr9ivYPv2HeNQwn4zUVK8PEcW9syAsA4QvarVt3RSDD,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/5sr9ivYPv2HeNQwn4zUVK8PEcW9syAsA4QvarVt3RSDD
3Le8ZkQnnUggocKjPyCKXrriVyNDAtxWBjpyMuS4pump,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/3Le8ZkQnnUggocKjPyCKXrriVyNDAtxWBjpyMuS4pump
8rMNiDgwZmJFhkMCQz8M2omcFcqCjk46bw8BUe8RTcDi,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/8rMNiDgwZmJFhkMCQz8M2omcFcqCjk46bw8BUe8RTcDi
t5wdhv6QPWKu4drYvLPG6JqTBZyi4nPkho4FbJR1z2x,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/t5wdhv6QPWKu4drYvLPG6JqTBZyi4nPkho4FbJR1z2x
BdSer1Ln414AQG7uJnsMZmKZcxZ8XqDZopRUfrdzgcKj,1,0,0.00%,-0.0021,-0.17,-0.17,-0.17,-0.17,0.0,2026-03-26,2026-03-26,https://solscan.io/account/BdSer1Ln414AQG7uJnsMZmKZcxZ8XqDZopRUfrdzgcKj
4J8gLDLK9D3vrsv2tRGKVtsjashzkfUxxF6tCsB3sYbr,7,3,42.86%,-31.058,-2559.8,-365.69,3380.97,-3458.34,0.0,2024-08-05,2025-05-12,https://solscan.io/account/4J8gLDLK9D3vrsv2tRGKVtsjashzkfUxxF6tCsB3sYbr
FtQs9sfgr1HD66CQGTcgAAoXKesPzqbwh5mT4UM2KTuw,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/FtQs9sfgr1HD66CQGTcgAAoXKesPzqbwh5mT4UM2KTuw
D6WbNcsFnXvoFcdKERLHq26c2bF9BwKWMw6z5ycUvmRu,6,4,66.67%,0.0618,5.09,0.85,3.57,-3.3,0.0,2026-02-04,2026-03-27,https://solscan.io/account/D6WbNcsFnXvoFcdKERLHq26c2bF9BwKWMw6z5ycUvmRu
AVzP2GeRmqGphJsMxWoqjpUifPpCret7LqWhD8NWQK49,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/AVzP2GeRmqGphJsMxWoqjpUifPpCret7LqWhD8NWQK49
AN7JGndFSLwnKVAhG7wEczpKCHzMGvAydY34vbNVZHH,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/AN7JGndFSLwnKVAhG7wEczpKCHzMGvAydY34vbNVZHH
F9fZreLYMgcRJMq91y24cLpBCWtLQvX2F5d2hjtpP28C,1,1,100.00%,0.0021,0.17,0.17,0.17,0.17,0.0,2026-02-03,2026-02-03,https://solscan.io/account/F9fZreLYMgcRJMq91y24cLpBCWtLQvX2F5d2hjtpP28C
